City,Temperature,Feels_Like_F,Humidity_,Weather_Condition,Wind_Speed_mph,Timestamp
Seattle,34.52,29.43,91,light snow,5.75,2025-02-03 21:56:23.032103
Los Angeles,55.96,55.15,83,clear sky,6.91,2025-02-03 21:56:23.032103
Las Vegas,65.82,63.66,33,clear sky,6.91,2025-02-03 21:56:23.032103
Fort Worth,69.6,69.6,71,clear sky,9.22,2025-02-03 21:56:23.032103
Miami,73.24,74.5,90,broken clouds,8.05,2025-02-03 21:56:23.032103
Nashville,62.51,61.43,63,scattered clouds,6.91,2025-02-03 21:56:23.032103
New York,43.39,39.27,79,clear sky,6.91,2025-02-03 21:56:23.032103
Seattle,34.54,29.44,91,light snow,5.75,2025-02-03 22:03:08.960277
Los Angeles,55.87,55.06,83,clear sky,6.91,2025-02-03 22:03:08.960277
Las Vegas,65.82,63.66,33,clear sky,6.91,2025-02-03 22:03:08.960277
Fort Worth,69.46,69.44,71,clear sky,8.05,2025-02-03 22:03:08.960277
Miami,73.04,74.23,89,overcast clouds,10.38,2025-02-03 22:03:08.960277
Nashville,60.89,59.77,66,clear sky,8.61,2025-02-03 22:03:08.960277
New York,43.23,39.07,79,clear sky,6.91,2025-02-03 22:03:08.960277
Seattle,34.63,31.1,91,mist,4.0,2025-02-03 22:20:43.955945
Los Angeles,55.96,55.15,83,clear sky,8.05,2025-02-03 22:20:43.955945
Las Vegas,64.33,61.83,29,clear sky,6.91,2025-02-03 22:20:43.955945
Fort Worth,69.39,69.4,72,clear sky,8.05,2025-02-03 22:20:43.955945
Miami,72.91,74.14,90,broken clouds,5.75,2025-02-03 22:20:43.955945
Nashville,62.4,61.39,65,overcast clouds,8.05,2025-02-03 22:20:43.955945
New York,43.02,37.24,80,clear sky,10.36,2025-02-03 22:20:43.955945
Seattle,34.74,28.8,91,mist,7.0,2025-02-03 22:43:55.671640
Los Angeles,55.72,54.95,84,clear sky,8.05,2025-02-03 22:43:55.671640
Las Vegas,64.13,61.65,30,clear sky,6.91,2025-02-03 22:43:55.671640
Fort Worth,69.17,69.26,74,clear sky,8.05,2025-02-03 22:43:55.671640
Miami,72.91,74.14,90,broken clouds,5.75,2025-02-03 22:43:55.671640
Nashville,61.38,60.4,68,overcast clouds,6.91,2025-02-03 22:43:55.671640
New York,43.32,37.62,78,clear sky,10.36,2025-02-03 22:43:55.671640
Seattle,34.74,28.8,91,mist,7.0,2025-02-03 22:48:31.121367
Los Angeles,55.72,54.95,84,clear sky,8.05,2025-02-03 22:48:31.121367
Las Vegas,64.13,61.65,30,clear sky,6.91,2025-02-03 22:48:31.121367
Fort Worth,69.17,69.26,74,clear sky,8.05,2025-02-03 22:48:31.121367
Miami,72.91,74.14,90,broken clouds,5.75,2025-02-03 22:48:31.121367
Nashville,61.38,60.4,68,overcast clouds,6.91,2025-02-03 22:48:31.121367
New York,43.43,37.76,79,clear sky,10.36,2025-02-03 22:48:31.121367
Seattle,34.74,30.27,91,light rain,5.01,2025-02-03 23:08:13.341273
